App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IVGBU,2001:db8:1a2b:3c4d:ce3d:9392:bf7:6e13,,2001:db8:1a2b:3c4d:6648:99bf:9462:282d,,80,HTTP,2971699,1205510
IVGBU,10.100.160.251,,10.100.160.92,,8443,HTTPS,1036039,104484
IVGBU,2001:db8:2bda:f8d3:96cd:df83:14f3:f64c,,2001:db8:2bda:f8d3:a0dd:c00e:f134:42d6,,22,TCP,871611,2113989
IVGBU,10.164.144.15,,10.164.105.186,,80,TCP,2254216,1537784
IVGBU,10.164.116.40,,10.164.105.204,,8080,TCP,2132071,2775998
IVGBU,10.165.116.174,,10.100.246.123,,5432,TCP,480464,2661718
IVGBU,10.164.144.22,,10.100.246.246,,443,HTTPS,3366605,2248589
IVGBU,10.164.116.57,,10.100.160.71,,443,HTTPS,3448747,3636069
IVGBU,10.165.116.8,,10.164.116.99,,443,TCP,0,0
IVGBU,10.164.145.240,,10.100.246.26,,1521,TCP,3528339,193909
IVGBU,10.164.145.95,,10.100.160.126,,80,HTTP,0,0
IVGBU,10.164.105.17,,10.164.145.9,,80,HTTP,3419682,3830900
IVGBU,10.164.145.215,,10.164.145.179,,8443,HTTPS,3343983,2626131
IVGBU,2001:db8:2582:6d22:277f:4ae4:2f54:b415,,2001:db8:4c3a:9f21:fb0:f35a:d60e:fcee,,8080,TCP,1616092,3155928
IVGBU,10.164.144.221,,10.164.105.50,,8443,TCP,3189798,3107536
IVGBU,2001:db8:2bda:f8d3:6e4b:522c:211a:5b03,,2001:db8:2582:6d22:f21c:7a24:7023:5988,,3306,TCP,963903,2278675
IVGBU,10.165.116.180,,10.164.116.149,,8443,HTTPS,2609195,1735213
IVGBU,10.164.105.165,,10.164.144.26,,8443,HTTPS,1110621,3786919
IVGBU,10.164.105.40,,10.164.116.42,,8443,HTTPS,3198937,3271170
IVGBU,10.100.160.37,,10.164.105.60,,8080,HTTP,0,0
IVGBU,2001:db8:4c3a:9f21:dd3b:55c1:dc33:441d,,2001:db8:4c3a:9f21:e55f:d3dd:4a60:fb1,,8081,HTTP,217011,2810518
IVGBU,10.100.160.80,,10.100.246.191,,80,TCP,3521575,2276835
IVGBU,10.164.144.54,,10.164.144.221,,80,HTTP,1291817,2747689
IVGBU,10.165.116.26,,10.100.160.177,,1521,TCP,799610,465828
IVGBU,10.164.144.27,,10.164.145.127,,8443,HTTPS,3575155,711717
IVGBU,10.164.145.192,,10.164.145.170,,8080,HTTP,1119897,1907350
IVGBU,10.164.144.189,,10.164.116.144,,,TCP,1554802,795813
IVGBU,10.165.116.124,,10.100.246.67,,80,HTTP,1460587,2929655
IVGBU,10.164.144.232,,10.100.246.73,,8443,HTTPS,0,0
IVGBU,10.165.116.165,,10.165.116.8,,443,HTTPS,3814665,2397124
IVGBU,10.100.246.40,,10.164.105.4,,80,HTTP,3016661,3534390
IVGBU,10.100.246.43,,10.164.145.145,,80,HTTP,0,0
IVGBU,10.100.160.70,,10.164.145.75,,8081,HTTP,1603887,2055443
IVGBU,10.164.145.19,,10.165.116.231,,443,HTTPS,2654419,3315389
IVGBU,10.164.105.184,,10.164.145.192,,389,TCP,426664,3027076
