App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IVR,10.100.246.58,,10.164.144.80,,,HTTP2-SSL,2682286,1689058
IVR,10.164.144.201,,10.164.145.34,,8081,HTTP,2229109,853997
IVR,10.100.246.25,,10.164.145.123,,8443,HTTPS,2579129,2591190
IVR,2001:db8:1a2b:3c4d:ce3f:a492:acfd:8a0c,,2001:db8:2bda:f8d3:3238:6481:300f:754a,,,HTTP-TUNNEL/HTTPS,2056894,3776357
IVR,10.100.246.17,,10.164.144.251,,8081,HTTP,2701466,2436871
IVR,10.100.246.151,,10.164.144.103,,8080,HTTP,2066337,3727451
IVR,10.100.246.179,,10.164.145.155,,,HTTP2-SSL,1010617,3450284
IVR,10.164.144.44,,10.164.145.251,,443,HTTPS,1987697,2511060
IVR,10.100.246.233,,10.164.144.184,,8443,HTTP2-SSL,0,0
IVR,10.100.246.39,,10.164.145.5,,8443,HTTPS,500026,1928602
IVR,10.164.144.139,,10.164.145.52,,8080,HTTP,2497275,3530781
IVR,10.100.246.123,,10.164.144.194,,8080,HTTP,671464,2731097
IVR,10.100.246.28,,10.164.144.11,,80,HTTP,2759549,1699364
IVR,2001:db8:1a2b:3c4d:2ccd:6226:f3df:d91f,,2001:db8:2bda:f8d3:d06e:62b9:8934:352c,,80,HTTP2-SSL,1750759,1717878
IVR,10.100.246.29,,10.164.144.171,,443,HTTP2-SSL,2130845,2131945
IVR,10.100.246.23,,10.164.144.181,,80,HTTP,1046418,1416063
IVR,10.100.246.116,,10.164.144.77,,8081,HTTP,756366,2098499
IVR,10.100.246.205,,10.164.144.124,,80,HTTP,2033125,2452499
IVR,10.164.144.36,,10.164.145.212,,8443,HTTPS,2593310,3139064
IVR,10.100.246.181,,10.164.145.197,,,HTTP-TUNNEL/HTTPS,0,0
IVR,10.100.246.213,,10.164.145.55,,8443,HTTP-TUNNEL/HTTPS,0,0
IVR,10.100.246.231,,10.164.144.212,,,HTTP-TUNNEL/HTTPS,1554464,3253955
IVR,10.100.246.226,,10.164.144.218,,8443,HTTPS,1976403,3696018
IVR,10.100.246.99,,10.164.145.42,,8080,HTTP,1222948,3492720
IVR,10.164.144.140,,10.164.144.9,,8443,HTTPS,2616725,2419398
IVR,10.100.246.84,,10.164.145.233,,443,HTTPS,977971,860308
IVR,10.100.246.230,,10.164.145.152,,8443,HTTPS,1798050,1825976
IVR,10.100.246.1,,10.164.145.246,,8080,HTTP2-SSL,2336294,3209152
IVR,10.100.246.158,,10.164.145.119,,,HTTP-TUNNEL/HTTPS,1371248,1994705
IVR,10.100.246.143,,10.164.145.138,,8443,HTTPS,1188702,1515829
IVR,2001:db8:ea19:a1e1:f299:839d:55a0:2ccb,,2001:db8:ea19:a1e1:3230:1ab9:5bdb:1f52,,3306,HTTP2-SSL,0,0
IVR,10.100.246.102,,10.164.144.214,,80,HTTP,2098306,1388014
IVR,10.100.246.95,,10.164.145.150,,80,HTTP,752358,807820
IVR,10.100.246.190,,10.164.144.72,,8080,HTTP-TUNNEL/HTTPS,2634784,3218435
IVR,2001:db8:ea19:a1e1:eeb5:c12:99ae:7580,,2001:db8:2bda:f8d3:55e5:4fe6:6415:4795,,3306,HTTP2-SSL,657381,1588755
IVR,10.100.246.59,,10.164.144.233,,8081,HTTP,2547688,3151411
IVR,10.100.246.170,,10.164.145.151,,389,HTTP-TUNNEL/HTTPS,1592745,2746472
IVR,10.100.246.101,,10.164.145.143,,1521,HTTP2-SSL,1707078,2051675
IVR,10.100.246.215,,10.164.145.143,,80,HTTP2-SSL,2083053,1310817
IVR,2001:db8:ea19:a1e1:244c:e75:2370:bde5,,2001:db8:2bda:f8d3:7394:51da:6ec4:95fe,,443,HTTP2-SSL,2634416,2088969
IVR,10.100.246.124,,10.164.144.55,,8443,HTTPS,2030163,3612539
IVR,2001:db8:1a2b:3c4d:5e54:6eac:c4ab:4ff8,,2001:db8:ea19:a1e1:ab0:99d1:4bba:529f,,8443,HTTPS,2118734,2881090
IVR,10.100.246.177,,10.164.145.14,,1521,HTTP2-SSL,0,0
IVR,10.164.144.132,,10.164.145.69,,8443,HTTPS,0,0
IVR,2001:db8:ea19:a1e1:d1cf:721f:5d4:38d4,,2001:db8:2bda:f8d3:5a8f:e06f:4138:9e73,,80,HTTP,1994911,3019254
IVR,10.100.246.54,,10.164.145.96,,443,HTTPS,527055,3865915
IVR,10.100.246.50,,10.164.145.177,,8443,HTTPS,722959,3280539
IVR,10.100.246.212,,10.164.145.138,,22,HTTP2-SSL,900663,3860929
IVR,10.164.144.117,,10.164.145.117,,8443,HTTPS,0,0
IVR,10.164.144.185,,10.164.144.52,,,HTTP2-SSL,2175389,3897390
IVR,2001:db8:1a2b:3c4d:9606:8b16:fd60:2b81,,2001:db8:ea19:a1e1:8075:b880:a4bd:9017,,8081,HTTP,1128846,3498507
IVR,10.164.144.86,,10.164.145.229,,1521,HTTP2-SSL,1296576,3693331
IVR,10.100.246.122,,10.164.144.62,,389,HTTP2-SSL,667124,3840591
IVR,10.164.144.201,,10.164.144.191,,,HTTP2-SSL,795072,2867541
IVR,10.100.246.80,,10.164.145.170,,80,HTTP,2616569,2631347
IVR,10.100.246.167,,10.164.145.33,,1521,HTTP-TUNNEL/HTTPS,1207830,2482257
IVR,2001:db8:ea19:a1e1:cf52:ec1:ecb5:1da,,2001:db8:2bda:f8d3:5fe5:606f:fd09:d320,,8080,HTTP,2696808,3985798
IVR,10.164.144.175,,10.164.144.147,,8081,HTTP,1041661,2002657
IVR,10.164.144.108,,10.164.145.27,,8081,HTTP,0,0
IVR,10.100.246.98,,10.164.145.167,,443,HTTPS,1573074,2095344
IVR,10.164.144.240,,10.164.145.235,,443,HTTP-TUNNEL/HTTPS,1059991,3143198
IVR,2001:db8:1a2b:3c4d:be06:9efe:234e:50d3,,2001:db8:2bda:f8d3:a763:43d4:dc37:51fc,,1521,HTTP2-SSL,2186326,3793924
IVR,10.100.246.201,,10.164.145.208,,443,HTTPS,1519770,1119861
IVR,2001:db8:1a2b:3c4d:b007:be7:29ee:d1a1,,2001:db8:2bda:f8d3:475e:91d5:cfa7:3772,,8080,HTTP,0,0
IVR,10.100.246.1,,10.164.144.3,,389,HTTP2-SSL,1287426,3183401
IVR,10.164.144.197,,10.164.145.202,,8443,HTTPS,632004,2929112
IVR,10.164.144.101,,10.164.145.242,,80,HTTP,1369161,2186214
IVR,10.100.246.255,,10.164.144.254,,,HTTP-TUNNEL/HTTPS,1699007,1297746
IVR,2001:db8:1a2b:3c4d:b3f4:19c7:d100:7634,,2001:db8:ea19:a1e1:fd68:5ec8:88f3:f9,,8080,HTTP,1363775,1393952
IVR,2001:db8:ea19:a1e1:535e:e1f8:6e9e:cb25,,2001:db8:ea19:a1e1:ae3c:b902:804c:d069,,8081,HTTP,2524116,1251531
IVR,10.164.144.151,,10.164.144.228,,389,HTTP-TUNNEL/HTTPS,1883086,868257
IVR,2001:db8:1a2b:3c4d:5726:4d75:9734:f9d8,,2001:db8:ea19:a1e1:f471:93ff:cd11:b634,,8443,HTTPS,1172234,2038998
IVR,10.100.246.96,,10.164.144.142,,3306,HTTP-TUNNEL/HTTPS,0,0
IVR,10.164.144.47,,10.164.144.148,,8443,HTTPS,1010015,3041914
IVR,10.100.246.206,,10.164.144.236,,,HTTP-TUNNEL/HTTPS,1162730,2052968
IVR,10.100.246.156,,10.164.145.81,,443,HTTPS,894589,882496
IVR,10.164.144.32,,10.164.145.64,,443,HTTPS,2493151,873145
IVR,10.100.246.107,,10.164.144.31,,443,HTTPS,1666216,3446641
IVR,10.164.144.49,,10.164.144.202,,8080,HTTP-TUNNEL/HTTPS,1665964,1156519
IVR,2001:db8:ea19:a1e1:f025:4b50:4661:d6bb,,2001:db8:ea19:a1e1:b9ca:188c:cd39:df41,,8080,HTTP,1077976,1784766
IVR,10.164.144.101,,10.164.144.37,,8443,HTTPS,1366097,3019628
IVR,2001:db8:1a2b:3c4d:349d:eda5:9b4e:3931,,2001:db8:2bda:f8d3:7ff:bb92:4901:9e00,,443,HTTP-TUNNEL/HTTPS,1114994,3284758
IVR,10.164.144.153,,10.164.145.181,,8443,HTTPS,1951878,869625
IVR,10.100.246.152,,10.164.144.67,,8080,HTTP,2557849,2528273
IVR,2001:db8:1a2b:3c4d:f63e:8dde:2b39:5a13,,2001:db8:ea19:a1e1:21ad:cd23:4742:771e,,3306,HTTP-TUNNEL/HTTPS,0,0
IVR,2001:db8:1a2b:3c4d:c78e:8f54:88ac:10f8,,2001:db8:2bda:f8d3:666d:60c2:1ef9:7763,,,HTTP2-SSL,2050248,3620607
IVR,2001:db8:ea19:a1e1:15f9:b297:c5c:aade,,2001:db8:2bda:f8d3:1468:3e51:a2d6:6a85,,8081,HTTP,2769883,3921429
IVR,2001:db8:1a2b:3c4d:cdbd:11a2:be39:b315,,2001:db8:ea19:a1e1:4cea:376:7957:8738,,8443,HTTPS,2700978,1436493
IVR,10.100.246.117,,10.164.144.84,,443,HTTPS,648129,3257271
IVR,10.164.144.46,,10.164.144.93,,8080,HTTP-TUNNEL/HTTPS,926110,1785805
IVR,2001:db8:1a2b:3c4d:7bb8:2eb6:2fca:859d,,2001:db8:2bda:f8d3:62c5:a437:49a:efb3,,8443,HTTPS,1288726,3199857
IVR,10.100.246.93,,10.164.144.224,,8443,HTTPS,2285673,1459852
IVR,2001:db8:1a2b:3c4d:70bc:5f4a:2af0:408d,,2001:db8:ea19:a1e1:1f18:f838:7389:2033,,8443,HTTPS,1913645,1846896
IVR,10.100.246.27,,10.164.145.102,,8443,HTTPS,704443,1925781
IVR,10.100.246.174,,10.164.145.159,,8443,HTTPS,2507403,3254039
IVR,10.164.144.183,,10.164.145.206,,8081,HTTP,1137839,3764627
IVR,2001:db8:1a2b:3c4d:923b:c318:cec4:8ee8,,2001:db8:2bda:f8d3:6c8f:dd7b:27a3:49f9,,8080,HTTP,760494,1172827
IVR,10.100.246.114,,10.164.145.15,,8080,HTTP,2311765,2293115
IVR,10.164.144.88,,10.164.145.11,,,HTTP-TUNNEL/HTTPS,1468666,2288650
IVR,10.164.144.86,,10.164.145.255,,8081,HTTP,2095689,3127016
IVR,2001:db8:1a2b:3c4d:f8c4:3997:1866:bd91,,2001:db8:2bda:f8d3:8364:71db:1c69:6bce,,8443,HTTPS,1011224,1611486
IVR,10.100.246.52,,10.164.144.253,,8443,HTTP-TUNNEL/HTTPS,1722192,1676947
IVR,10.100.246.163,,10.164.145.185,,443,HTTPS,2948256,2350944
IVR,10.100.246.1,,10.164.144.31,,1521,HTTP2-SSL,2397940,1955141
IVR,10.100.246.70,,10.164.144.170,,1521,HTTP-TUNNEL/HTTPS,1975010,2253888
IVR,10.100.246.248,,10.164.145.14,,80,HTTP2-SSL,2095591,966289
IVR,10.164.144.143,,10.164.144.133,,443,HTTPS,1310315,1164604
IVR,2001:db8:ea19:a1e1:f028:c01f:4cba:9683,,2001:db8:ea19:a1e1:d304:1f91:4bd5:aedd,,,HTTP2-SSL,1581896,1628272
IVR,10.100.246.248,,10.164.145.248,,8443,HTTPS,2639768,2582484
IVR,10.164.144.36,,10.164.144.151,,8081,HTTP,990585,3675430
IVR,2001:db8:1a2b:3c4d:521f:9f3:3e25:33e3,,2001:db8:ea19:a1e1:688b:6949:3ac4:58c4,,8443,HTTPS,2554636,2756219
IVR,10.164.144.110,,10.164.145.89,,80,HTTP2-SSL,1577035,1259330
IVR,10.100.246.204,,10.164.145.81,,443,HTTPS,1325223,3401442
IVR,10.100.246.53,,10.164.145.137,,,HTTP-TUNNEL/HTTPS,799717,2888109
IVR,2001:db8:1a2b:3c4d:be63:43cb:debe:19da,,2001:db8:2bda:f8d3:596a:a61d:35c4:28fb,,80,HTTP,1442967,1668386
IVR,10.164.144.152,,10.164.145.196,,1521,HTTP2-SSL,0,0
IVR,10.100.246.231,,10.164.145.212,,,HTTP-TUNNEL/HTTPS,0,0
IVR,10.164.144.33,,10.164.145.57,,8080,HTTP2-SSL,2189667,2026893
IVR,10.100.246.9,,10.164.144.192,,80,HTTP-TUNNEL/HTTPS,1416911,874033
IVR,10.100.246.184,,10.164.145.254,,,HTTP-TUNNEL/HTTPS,2352761,2611028
IVR,10.164.144.75,,10.164.144.222,,443,HTTPS,2422739,1717044
IVR,10.164.144.81,,10.164.144.120,,8081,HTTP,1653199,1261749
IVR,10.100.246.226,,10.164.145.2,,3306,HTTP-TUNNEL/HTTPS,2147850,3904860
IVR,10.164.144.63,,10.164.144.251,,8080,HTTP2-SSL,2589400,1210647
IVR,10.100.246.89,,10.164.145.74,,443,HTTPS,581849,2064511
IVR,10.100.246.171,,10.164.144.106,,8443,HTTP-TUNNEL/HTTPS,2717396,3459500
IVR,10.100.246.90,,10.164.145.122,,,HTTP2-SSL,539726,3545143
IVR,10.100.246.213,,10.164.145.217,,8443,HTTP-TUNNEL/HTTPS,1658609,3558020
IVR,2001:db8:ea19:a1e1:2e40:aa31:ac3b:6652,,2001:db8:2bda:f8d3:41b8:ed41:d458:2e0d,,443,HTTPS,2435386,3996210
IVR,10.100.246.106,,10.164.144.177,,1521,HTTP-TUNNEL/HTTPS,2816918,1275099
IVR,2001:db8:1a2b:3c4d:e550:c2a4:b214:c542,,2001:db8:2bda:f8d3:32c:e977:c4a3:5f7,,8443,HTTPS,0,0
IVR,10.164.144.29,,10.164.145.178,,,HTTP-TUNNEL/HTTPS,2604076,867832
