App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IVRMC,10.164.105.191,,10.164.145.76,,8080,HTTP,1266901,1737282
IVRMC,10.165.116.209,,10.164.145.118,,3306,TCP,0,0
IVRMC,10.165.116.123,,10.164.116.0,,8443,HTTPS,3242465,1780514
IVRMC,10.164.144.102,,10.100.160.226,,8081,HTTP,3479628,3894595
IVRMC,10.164.116.58,,10.165.116.116,,80,TCP,2109128,1359983
IVRMC,10.164.116.53,,10.165.116.62,,,TCP,3724805,118226
IVRMC,10.165.116.187,,10.164.145.244,,8080,HTTP,1760057,911943
IVRMC,10.164.144.223,,10.100.160.128,,443,HTTPS,1661997,3672190
IVRMC,10.164.116.130,,10.164.144.42,,80,HTTP,0,0
IVRMC,10.100.246.171,,10.100.246.73,,80,TCP,1411867,1982814
IVRMC,10.100.246.63,,10.100.160.90,,1521,TCP,2208428,3916179
IVRMC,10.164.105.250,,10.164.105.166,,80,HTTP,1546654,1864209
IVRMC,10.164.116.42,,10.164.116.61,,443,HTTPS,2811083,1157218
IVRMC,10.100.246.62,,10.164.105.92,,8081,HTTP,1087901,780780
IVRMC,10.164.144.129,,10.165.116.54,,80,HTTP,2096867,3258683
IVRMC,10.164.105.130,,10.100.160.94,,80,TCP,756054,274325
IVRMC,2001:db8:ea19:a1e1:8056:58c3:b8bc:1c2f,,2001:db8:2bda:f8d3:6bae:3380:8356:3c1e,,8443,HTTPS,1432388,3846640
IVRMC,10.100.246.252,,10.100.160.160,,80,HTTP,2729025,2002772
IVRMC,10.165.116.163,,10.100.160.148,,,TCP,793894,3986804
IVRMC,10.164.144.41,,10.100.160.60,,8443,HTTPS,2544565,3534294
IVRMC,10.100.246.205,,10.164.116.189,,80,HTTP,3219919,3232663
IVRMC,10.164.144.142,,10.164.144.100,,8443,HTTPS,3311876,1485393
IVRMC,10.164.105.220,,10.164.144.14,,80,HTTP,2687489,267085
IVRMC,2001:db8:ea19:a1e1:c433:46ce:8638:adea,,2001:db8:1a2b:3c4d:5875:7864:db9a:949b,,8080,HTTP,1540737,1817993
IVRMC,10.164.144.4,,10.100.160.83,,8080,HTTP,1000341,2064906
IVRMC,10.164.116.236,,10.164.116.160,,,TCP,3084178,3361671
IVRMC,10.164.105.11,,10.164.116.202,,,TCP,3091839,2916588
IVRMC,2001:db8:4c3a:9f21:8111:2304:c273:e5,,2001:db8:2bda:f8d3:ab68:392e:12fc:97c9,,8443,HTTPS,1558210,1376825
IVRMC,10.164.145.150,,10.164.116.245,,,TCP,122822,539321
IVRMC,10.100.246.186,,10.100.160.202,,80,HTTP,1767845,2498226
IVRMC,10.164.105.199,,10.164.145.10,,8080,HTTP,2502099,1748917
IVRMC,10.100.246.247,,10.165.116.220,,8081,HTTP,3672695,2214839
