App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IW,10.164.144.86,,10.100.160.179,,443,TCP,3996807,1016154
IW,10.164.116.88,,10.164.116.253,,,TCP,3812932,3862586
IW,2001:db8:4c3a:9f21:e316:a19e:fdc:95a,,2001:db8:548b:87b5:d175:99ad:30e4:bbd0,,443,TCP,3511231,3756408
IW,10.164.116.96,,10.164.145.197,,3306,TCP,571059,556089
IW,10.100.160.48,,10.164.145.132,,,TCP,3880343,3526158
IW,10.164.105.75,,10.100.246.219,,,TCP,3172302,751098
IW,10.164.105.224,,10.164.144.85,,443,HTTPS,2750826,1880282
IW,10.164.105.30,,10.100.160.210,,8443,HTTPS,2662686,814415
IW,10.164.144.229,,10.100.160.41,,8443,TCP,3534077,2725901
IW,10.164.144.81,,10.100.246.230,,22,TCP,3120712,564488
IW,10.164.145.154,,10.100.246.231,,,TCP,1392449,3567240
IW,10.100.246.239,,10.164.145.181,,8443,HTTPS,2748047,459577
IW,10.100.246.177,,10.164.105.72,,,TCP,3839031,1660467
IW,10.100.160.167,,10.100.246.2,,,TCP,2048925,1265491
IW,2001:db8:2bda:f8d3:e3b:ad0c:dce0:80d8,,2001:db8:1a2b:3c4d:d336:6de8:7659:2713,,,TCP,2699610,3549283
IW,10.164.144.177,,10.100.160.146,,80,HTTP,2580974,2429864
IW,10.165.116.208,,10.164.145.58,,443,HTTPS,3922920,3990440
IW,10.165.116.49,,10.100.246.146,,8443,HTTPS,419062,147007
IW,10.100.160.199,,10.100.246.95,,80,HTTP,1350292,1755943
IW,10.100.160.201,,10.164.145.201,,22,TCP,2052568,3021595
IW,2001:db8:ea19:a1e1:1f83:c253:6040:7532,,2001:db8:2bda:f8d3:2d2f:e48e:1702:c9a1,,443,HTTPS,3794969,1158594
IW,10.100.246.223,,10.164.144.217,,443,HTTPS,293987,1546373
IW,10.100.246.154,,10.100.160.157,,80,HTTP,0,0
IW,10.100.246.2,,10.165.116.105,,8080,HTTP,2207193,3867239
IW,10.164.116.62,,10.164.105.122,,8443,HTTPS,3745071,1995127
IW,10.165.116.224,,10.164.116.35,,8443,TCP,876870,3547158
IW,10.100.160.95,,10.164.105.38,,,TCP,0,0
IW,10.164.116.144,,10.164.145.10,,443,HTTPS,2957726,1691044
IW,2001:db8:1a2b:3c4d:ac9f:218c:d4a6:4bbc,,2001:db8:1a2b:3c4d:bf6b:1423:ac07:bec1,,8081,HTTP,3709892,3869562
IW,10.164.116.71,,10.100.246.156,,8443,HTTPS,0,0
IW,10.164.105.5,,10.164.145.72,,8443,TCP,371923,2937333
IW,2001:db8:4c3a:9f21:8347:3fba:3369:112e,,2001:db8:1a2b:3c4d:dcb4:480:7f8:b146,,8081,HTTP,0,0
IW,10.100.246.54,,10.165.116.185,,8443,HTTPS,1451570,572812
