App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IWDE,10.164.105.170,,10.164.105.105,,8080,HTTP,354517,3394779
IWDE,10.164.116.234,,10.164.116.122,,5432,TCP,1632473,1543699
IWDE,10.164.144.194,,10.164.145.49,,5432,TCP,1368598,177733
IWDE,10.100.246.232,,10.164.105.101,,8080,HTTP,207234,272269
IWDE,2001:db8:2582:6d22:1578:b0ec:dd00:eb3f,,2001:db8:ea19:a1e1:ec2c:2fe3:e5e3:3b5d,,389,TCP,1876865,3355493
IWDE,10.100.160.143,,10.100.246.224,,443,HTTPS,492925,1289550
IWDE,10.164.116.2,,10.100.246.60,,3306,TCP,2144099,3552866
IWDE,2001:db8:548b:87b5:f872:e44c:3c70:d82d,,2001:db8:2bda:f8d3:d1d1:8484:a90c:b751,,80,HTTP,556221,267714
IWDE,10.165.116.71,,10.164.105.229,,8081,HTTP,699709,2390630
IWDE,10.164.116.174,,10.100.246.188,,80,HTTP,3154056,661698
IWDE,10.164.105.142,,10.164.105.251,,,TCP,3037521,2576776
IWDE,10.164.116.137,,10.164.105.144,,8443,HTTPS,2595225,128341
IWDE,10.164.116.124,,10.100.160.198,,80,HTTP,360152,1626039
IWDE,10.100.246.85,,10.164.105.231,,8443,HTTPS,3865857,1962360
IWDE,10.164.145.35,,10.164.116.194,,443,TCP,1716702,2206719
IWDE,10.100.246.109,,10.100.246.23,,389,TCP,1667108,1462122
IWDE,10.164.145.10,,10.164.144.230,,443,HTTPS,2748794,3571008
IWDE,10.164.144.35,,10.165.116.117,,1521,TCP,577968,3525837
IWDE,10.164.116.48,,10.164.144.105,,,TCP,2348368,3268920
IWDE,10.164.116.51,,10.165.116.29,,8443,HTTPS,3501837,2019657
IWDE,10.165.116.231,,10.164.116.42,,8443,HTTPS,3287771,3973830
IWDE,2001:db8:548b:87b5:9a8f:f953:9c8:4722,,2001:db8:1a2b:3c4d:1d7c:6e05:14fc:cb10,,8443,HTTPS,929031,3434365
IWDE,10.164.105.214,,10.164.105.88,,8443,HTTPS,265804,1757991
IWDE,10.100.160.105,,10.164.145.211,,8080,HTTP,3994994,1642206
IWDE,10.164.145.183,,10.165.116.130,,443,TCP,1350343,2505004
IWDE,10.165.116.51,,10.165.116.222,,8080,TCP,3972776,2622652
IWDE,10.164.145.51,,10.164.145.159,,,TCP,117265,1308666
IWDE,10.164.144.212,,10.164.105.46,,5432,TCP,1900546,3109846
IWDE,2001:db8:548b:87b5:5f21:50d2:aec7:c403,,2001:db8:548b:87b5:3a8:abef:570e:3fcd,,8443,HTTPS,1954223,1709720
IWDE,10.164.105.223,,10.100.246.26,,8081,HTTP,2040322,660407
IWDE,10.164.116.124,,10.164.105.0,,443,HTTPS,2465691,145195
