App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IX,10.100.246.223,,10.164.105.80,,443,HTTP2-SSL,2790695,3904526
IX,10.164.144.85,,10.164.116.87,,,TLS,2410068,1401478
IX,10.100.246.92,,10.164.105.227,,443,REST,0,0
IX,2001:db8:2bda:f8d3:2605:7dbd:8c04:170f,,2001:db8:548b:87b5:5b72:96ad:c674:4b07,,443,HTTPS,1591862,933667
IX,10.164.144.179,,10.164.145.40,,80,SOAP,0,0
IX,10.100.246.237,,10.164.105.160,,8443,HTTPS,2875750,1621675
IX,10.100.246.91,,10.164.105.110,,5432,SOAP,1152182,2796172
IX,10.100.246.123,,10.164.105.215,,8443,REST,890429,2465935
IX,10.100.246.140,,10.164.105.76,,1521,HTTP2-SSL,1325921,2535394
IX,10.164.144.91,,10.164.105.70,,8443,TLS,3177315,2532480
IX,2001:db8:1a2b:3c4d:2e9f:60e1:f1a9:6149,,2001:db8:2bda:f8d3:9229:d88a:4b84:8f3a,,443,REST,2056263,1428214
IX,10.100.246.42,,10.164.145.104,,,REST,0,0
IX,10.100.246.108,,10.164.116.102,,,REST,1788129,3882630
IX,10.164.145.143,,10.164.105.176,,,TLS,1572531,1073020
IX,10.100.246.13,,10.164.105.163,,389,HTTP2-SSL,0,0
IX,10.164.145.229,,10.164.116.76,,1521,HTTP2-SSL,1405496,1535661
IX,10.164.144.179,,10.164.145.49,,5432,HTTP2-SSL,894608,3952495
IX,2001:db8:1a2b:3c4d:2fd6:cde0:9986:fa50,,2001:db8:2582:6d22:1e49:d858:8691:7c5e,,,SOAP,2067803,3454518
IX,2001:db8:1a2b:3c4d:7201:607d:a197:f09c,,2001:db8:548b:87b5:ccf5:32b3:d715:1d41,,8443,HTTPS,2058891,1159468
IX,10.164.144.196,,10.164.116.196,,1521,HTTP2-SSL,2319884,3895335
IX,10.100.246.116,,10.164.105.174,,80,HTTP2-SSL,1132451,2331577
IX,10.164.144.131,,10.164.105.152,,,TLS,0,0
IX,2001:db8:ea19:a1e1:5444:c82e:cad0:8c49,,2001:db8:2bda:f8d3:4884:5a59:6c12:49a7,,8443,HTTPS,3539850,2496036
IX,10.100.246.33,,10.164.116.148,,5432,SOAP,0,0
IX,2001:db8:ea19:a1e1:e5a8:2573:a363:4d05,,2001:db8:548b:87b5:8404:b6e3:dc20:5a0e,,389,REST,1544735,2084831
IX,10.100.246.246,,10.164.105.28,,22,REST,0,0
IX,10.164.144.79,,10.164.105.237,,3306,REST,1072783,3179661
IX,10.164.144.239,,10.164.145.144,,8443,TLS,3511415,2781377
IX,2001:db8:ea19:a1e1:4d52:ff39:e5eb:90b0,,2001:db8:2582:6d22:6e7:1bf3:6d5b:e027,,5432,HTTP2-SSL,3341919,2992683
IX,10.164.145.251,,10.164.116.165,,,TLS,794163,2688086
IX,10.164.144.212,,10.164.145.123,,5432,TLS,3990251,2021982
IX,10.164.144.149,,10.164.116.15,,389,SOAP,3067961,1807186
IX,10.164.144.82,,10.164.116.2,,8443,HTTPS,3361187,1149706
IX,10.164.144.153,,10.164.116.6,,8443,HTTPS,687872,2991455
IX,10.100.246.109,,10.164.145.21,,8443,HTTPS,2741013,1210803
IX,10.100.246.254,,10.164.145.127,,443,HTTPS,0,0
IX,10.164.145.175,,10.164.116.198,,5432,REST,0,0
IX,2001:db8:ea19:a1e1:40c8:ef4c:127c:2f33,,2001:db8:548b:87b5:13e5:4291:b300:b3a6,,5432,TLS,1200702,3373581
