App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IXCI,10.165.116.252,,10.164.145.133,,8081,HTTP,508636,1872570
IXCI,10.165.116.110,,10.165.116.227,,443,TCP,0,0
IXCI,10.100.246.253,,10.164.105.61,,3306,TCP,506335,2047064
IXCI,10.164.116.79,,10.100.246.158,,8081,HTTP,907635,3441420
IXCI,10.164.145.103,,10.164.144.39,,3306,TCP,1908637,295995
IXCI,10.164.144.202,,10.164.116.177,,8081,HTTP,2818451,2707069
IXCI,10.164.116.71,,10.164.105.118,,389,TCP,1857976,1231417
IXCI,2001:db8:2bda:f8d3:8c26:466:6e5e:9e9b,,2001:db8:2582:6d22:4078:5745:f61d:4d68,,80,HTTP,1825018,2543996
IXCI,10.100.160.30,,10.164.116.185,,8081,HTTP,2925187,1774531
IXCI,10.164.105.43,,10.100.246.166,,8443,TCP,2854014,2313227
IXCI,10.164.116.191,,10.164.145.111,,443,HTTPS,3099779,3538108
IXCI,2001:db8:548b:87b5:9c3a:ca12:d9e4:c5b2,,2001:db8:2582:6d22:58ed:2a8:8682:59c4,,,TCP,3344939,2138382
IXCI,2001:db8:4c3a:9f21:3165:8963:fd96:57de,,2001:db8:1a2b:3c4d:5c18:ef45:a1ba:ae3,,1521,TCP,1442627,1940069
IXCI,10.100.160.126,,10.100.246.107,,80,HTTP,0,0
IXCI,10.165.116.201,,10.164.116.232,,,TCP,2248954,2337095
IXCI,10.100.160.197,,10.165.116.231,,22,TCP,541492,3129250
IXCI,2001:db8:2bda:f8d3:b7db:a34:fe60:646b,,2001:db8:2bda:f8d3:d5a7:7c13:7d11:22e7,,5432,TCP,3738972,2186290
IXCI,10.100.246.3,,10.164.145.236,,8081,HTTP,3175480,1913396
IXCI,10.165.116.36,,10.100.246.181,,8080,HTTP,1969085,1283327
IXCI,10.100.160.211,,10.165.116.51,,443,HTTPS,532973,1846655
IXCI,10.164.144.123,,10.165.116.30,,443,HTTPS,1314908,3701631
IXCI,2001:db8:ea19:a1e1:bc68:52b1:a491:5013,,2001:db8:548b:87b5:92df:ac62:85a8:a147,,8081,HTTP,516294,1751230
IXCI,10.164.145.229,,10.164.145.27,,,TCP,1793848,487445
IXCI,10.164.145.152,,10.100.246.113,,80,TCP,3107854,1733160
IXCI,10.164.144.46,,10.100.246.189,,80,HTTP,0,0
IXCI,10.165.116.198,,10.100.160.166,,443,HTTPS,298315,2572064
IXCI,10.164.116.155,,10.164.116.47,,8080,HTTP,168237,3484046
IXCI,10.164.105.246,,10.164.116.122,,8443,HTTPS,0,0
IXCI,10.164.105.87,,10.164.105.85,,80,HTTP,3521709,1226581
IXCI,10.100.160.28,,10.100.160.11,,8443,HTTPS,3764408,991091
IXCI,2001:db8:ea19:a1e1:42ac:58b8:4a4a:d59e,,2001:db8:ea19:a1e1:8de6:58c2:def7:33f6,,8080,HTTP,2467231,1065571
IXCI,10.164.145.240,,10.100.160.16,,,TCP,1415407,2250738
IXCI,10.100.160.92,,10.100.246.107,,443,HTTPS,3980611,3672020
IXCI,2001:db8:2582:6d22:6a8:7cce:89b0:75ed,,2001:db8:2bda:f8d3:e211:1f46:813:bb1f,,8080,HTTP,1104178,2928693
IXCI,10.100.160.79,,10.164.105.76,,5432,TCP,1073735,2558367
IXCI,10.164.145.226,,10.100.246.9,,80,HTTP,2105077,1770141
IXCI,10.100.160.169,,10.164.145.135,,8443,HTTPS,1791258,3670519
IXCI,10.164.145.168,,10.164.105.157,,3306,TCP,1549384,2939157
IXCI,10.100.160.175,,10.100.246.121,,,TCP,2440570,3847837
IXCI,10.164.116.72,,10.164.105.131,,1521,TCP,507321,1590507
IXCI,10.164.145.97,,10.165.116.199,,80,HTTP,1490652,1648067
IXCI,10.100.160.81,,10.165.116.52,,8081,HTTP,1596736,169203
IXCI,10.164.116.233,,10.164.145.190,,8080,HTTP,1232137,720000
IXCI,10.100.246.182,,10.165.116.135,,,TCP,2688942,3658085
IXCI,10.165.116.234,,10.164.116.82,,8081,HTTP,1707523,473992
IXCI,2001:db8:2bda:f8d3:553f:1cc1:373:5f9d,,2001:db8:2bda:f8d3:3912:8b08:3fd5:432b,,3306,TCP,2296344,3307776
IXCI,10.100.246.202,,10.164.145.98,,80,HTTP,0,0
IXCI,10.100.160.100,,10.164.105.228,,8443,HTTPS,1783870,1094260
IXCI,10.164.116.179,,10.165.116.123,,443,HTTPS,3515992,3208039
IXCI,10.100.246.181,,10.164.105.218,,8443,HTTPS,3200506,3503950
IXCI,2001:db8:1a2b:3c4d:88b1:408d:741e:ff91,,2001:db8:2bda:f8d3:8dfe:2d2:66b9:9f9d,,,TCP,1238689,1118621
IXCI,2001:db8:2bda:f8d3:dae1:875e:e725:1392,,2001:db8:1a2b:3c4d:e48b:a982:f616:10d6,,8081,HTTP,3815875,276468
IXCI,10.100.160.193,,10.164.145.107,,1521,TCP,1459170,1696425
IXCI,10.164.145.88,,10.100.246.183,,1521,TCP,3230613,1700476
IXCI,10.100.246.169,,10.100.246.114,,443,HTTPS,461104,2676133
IXCI,10.164.105.131,,10.100.160.13,,8080,HTTP,3073043,3135946
IXCI,10.164.105.184,,10.164.144.86,,8443,HTTPS,1830794,1709937
IXCI,10.100.246.183,,10.164.145.112,,443,TCP,1810335,2119239
IXCI,10.164.144.230,,10.164.105.210,,8081,HTTP,2085216,3448131
IXCI,10.164.144.106,,10.164.144.144,,8443,HTTPS,341864,1052437
IXCI,10.164.144.102,,10.164.144.151,,443,HTTPS,885624,852703
IXCI,10.165.116.207,,10.164.144.34,,8443,HTTPS,3690112,685115
IXCI,10.164.105.119,,10.100.160.24,,22,TCP,2531030,2397211
IXCI,10.165.116.198,,10.164.144.213,,389,TCP,3496216,552210
IXCI,10.164.145.157,,10.100.160.98,,443,HTTPS,2406319,3225147
IXCI,10.164.105.233,,10.164.105.149,,8080,HTTP,1506544,2738080
IXCI,10.165.116.191,,10.164.145.128,,8443,TCP,794343,3179323
IXCI,10.100.246.216,,10.164.116.215,,80,TCP,512825,3490474
IXCI,10.164.144.157,,10.164.144.213,,443,HTTPS,1887936,1030901
IXCI,10.164.144.135,,10.100.160.130,,443,HTTPS,1734834,1425975
IXCI,10.165.116.0,,10.164.145.32,,,TCP,3442550,2969029
IXCI,2001:db8:548b:87b5:75a7:6ff6:c832:317b,,2001:db8:2bda:f8d3:c1f3:9fa6:6f68:6572,,8081,HTTP,2393117,2843746
IXCI,10.164.105.200,,10.165.116.74,,3306,TCP,1288226,2975691
IXCI,10.100.246.248,,10.164.105.3,,443,HTTPS,3651709,746531
IXCI,10.164.145.253,,10.164.116.63,,3306,TCP,3951157,2665103
