App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IXOF,2001:db8:4c3a:9f21:998:e673:bf67:5972,,2001:db8:2bda:f8d3:a9eb:acc3:5dcc:2e62,,,TCP,897020,1328956
IXOF,2001:db8:2bda:f8d3:1046:fc86:b1c7:45c3,,2001:db8:2bda:f8d3:3f72:84e4:3529:8346,,8443,HTTPS,2128732,2885904
IXOF,10.100.160.240,,10.100.246.152,,8080,HTTP,1094758,3208958
IXOF,10.164.144.24,,10.164.144.99,,5432,TCP,0,0
IXOF,10.100.246.243,,10.100.246.238,,8080,TCP,3766859,3380399
IXOF,10.164.105.143,,10.164.145.60,,8080,HTTP,3677090,3717273
IXOF,2001:db8:1a2b:3c4d:56f7:8177:5a66:f87e,,2001:db8:2582:6d22:492e:5982:c322:d474,,8080,HTTP,1767337,2321437
IXOF,10.100.246.92,,10.165.116.73,,8080,HTTP,3744652,2310472
IXOF,10.165.116.117,,10.164.105.102,,8080,TCP,1221283,3333753
IXOF,10.164.144.2,,10.100.246.10,,,TCP,221007,2518514
IXOF,10.100.246.208,,10.100.160.42,,8443,HTTPS,2048206,901546
IXOF,10.100.246.64,,10.100.160.31,,8443,HTTPS,3214793,2912888
IXOF,10.165.116.191,,10.165.116.115,,80,HTTP,129406,1088250
IXOF,10.100.160.182,,10.164.105.178,,8443,HTTPS,333983,548605
IXOF,10.164.144.248,,10.100.160.111,,8080,TCP,3612897,3473861
IXOF,2001:db8:2582:6d22:cc41:10a5:a8d4:d473,,2001:db8:2582:6d22:5f8c:4058:53ed:a689,,,TCP,3822213,1383225
IXOF,10.164.116.94,,10.100.246.88,,,TCP,910261,1777084
IXOF,10.164.105.177,,10.164.116.125,,443,HTTPS,3985432,2788774
IXOF,10.165.116.95,,10.164.144.11,,80,TCP,774894,398910
IXOF,10.164.105.3,,10.100.160.40,,443,HTTPS,1750616,1849742
IXOF,10.164.145.123,,10.164.116.31,,443,HTTPS,3441719,3463106
IXOF,10.164.105.239,,10.164.144.217,,,TCP,0,0
IXOF,10.100.160.184,,10.100.160.10,,443,HTTPS,583707,2977891
IXOF,10.100.160.87,,10.165.116.16,,443,HTTPS,2041628,761921
IXOF,10.165.116.6,,10.164.144.185,,1521,TCP,0,0
IXOF,10.165.116.156,,10.164.116.223,,8443,HTTPS,872798,3675701
IXOF,10.164.105.121,,10.164.144.135,,443,HTTPS,1508969,1599347
IXOF,10.165.116.90,,10.164.105.79,,22,TCP,665724,646066
IXOF,10.164.105.91,,10.164.144.234,,8443,HTTPS,2021891,898153
IXOF,10.100.160.233,,10.100.246.160,,8443,HTTPS,1024246,660393
IXOF,10.164.116.205,,10.165.116.252,,8081,HTTP,3286686,404987
