App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
LB,10.164.116.81,,10.164.105.134,,1521,TCP,959299,3394505
LB,10.100.160.129,,10.165.116.10,,3306,TCP,3061809,2360708
LB,10.165.116.117,,10.164.105.174,,443,HTTPS,1388230,3957779
LB,10.164.144.73,,10.100.160.150,,,TCP,3441229,3195821
LB,10.164.105.17,,10.100.160.22,,8080,HTTP,759443,798407
LB,2001:db8:2bda:f8d3:a5fe:afff:c78:c95c,,2001:db8:ea19:a1e1:e3c:f57:16f8:706b,,8081,HTTP,3056957,231881
LB,2001:db8:2582:6d22:dfbb:9324:6623:a66b,,2001:db8:ea19:a1e1:45ab:636d:5ea9:36fa,,8080,TCP,0,0
LB,10.100.246.142,,10.100.160.43,,8443,HTTPS,1671201,224795
LB,10.164.145.114,,10.164.116.53,,3306,TCP,714026,1141437
LB,10.165.116.99,,10.100.160.87,,443,HTTPS,0,0
LB,10.100.246.31,,10.164.105.14,,80,HTTP,2973441,3283800
LB,2001:db8:4c3a:9f21:525a:4134:d14d:2ed4,,2001:db8:2582:6d22:2c83:2ba6:a540:598f,,1521,TCP,1461808,1534348
LB,10.164.145.10,,10.165.116.149,,,TCP,574434,2921984
LB,2001:db8:2582:6d22:5e56:e020:85b0:6c72,,2001:db8:2582:6d22:7350:ddc9:ccdb:2182,,80,TCP,0,0
LB,10.100.246.84,,10.164.144.234,,22,TCP,2875813,1188480
LB,2001:db8:ea19:a1e1:3c90:b8bb:5c2c:5da9,,2001:db8:548b:87b5:36a2:45ad:1af2:4302,,80,HTTP,1306756,1636620
LB,10.164.105.1,,10.164.105.118,,8080,HTTP,416249,718546
LB,10.164.105.241,,10.100.246.23,,8443,HTTPS,821119,1908224
LB,10.164.145.139,,10.164.116.90,,3306,TCP,1004544,2517454
LB,10.164.144.110,,10.164.145.173,,8080,HTTP,3642475,108290
LB,10.164.116.134,,10.100.246.231,,8080,HTTP,679819,2303384
LB,10.165.116.103,,10.164.105.81,,8080,HTTP,3487956,2787321
LB,2001:db8:ea19:a1e1:4367:294c:39fa:d28,,2001:db8:548b:87b5:3836:c58c:82d5:6b9c,,80,HTTP,1808101,2299982
LB,10.164.105.129,,10.164.105.217,,8443,HTTPS,619812,1981441
LB,2001:db8:2bda:f8d3:50c0:de8f:db02:861,,2001:db8:548b:87b5:19a:6ebc:8b12:8cbc,,5432,TCP,3056927,1619304
LB,2001:db8:2bda:f8d3:1d61:dbb5:96ee:a268,,2001:db8:ea19:a1e1:c8b6:9f5b:7e7d:f7ed,,8443,HTTPS,3234633,3663575
LB,10.100.160.201,,10.100.160.158,,8443,HTTPS,3198271,1465480
LB,10.100.246.154,,10.100.160.72,,22,TCP,1664658,2359678
LB,2001:db8:1a2b:3c4d:2897:6443:ba2b:1121,,2001:db8:2bda:f8d3:a3a0:4269:4684:1598,,8081,HTTP,2836176,252945
LB,10.100.246.160,,10.165.116.168,,5432,TCP,592466,703826
LB,10.164.105.14,,10.164.105.45,,8081,HTTP,3053367,1649449
LB,10.100.246.122,,10.100.160.130,,8080,TCP,0,0
LB,10.165.116.186,,10.164.145.211,,443,HTTPS,0,0
LB,10.100.246.134,,10.164.116.60,,80,HTTP,3530236,2108477
LB,2001:db8:1a2b:3c4d:9e02:718a:764:8c76,,2001:db8:1a2b:3c4d:c5dc:224:df97:8517,,443,TCP,3361837,879547
LB,10.164.144.228,,10.164.105.97,,80,TCP,3671013,651470
LB,10.100.160.105,,10.100.246.202,,,TCP,1770515,399773
LB,10.164.116.5,,10.164.116.195,,443,HTTPS,2181742,529370
LB,10.164.144.112,,10.165.116.162,,443,HTTPS,2364470,1268948
LB,10.164.144.212,,10.164.144.99,,443,HTTPS,3311816,1484751
LB,10.100.160.142,,10.100.246.220,,80,TCP,2895833,806066
LB,2001:db8:2bda:f8d3:c006:baee:ff6c:8e6e,,2001:db8:2bda:f8d3:ff9a:e4b3:2ba9:d27,,443,HTTPS,1895245,1807853
