App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
LBCC,10.164.145.145,,10.164.105.74,,8443,HTTP2-SSL,2336036,2374617
LBCC,10.164.145.222,,10.164.105.241,,8443,HTTPS,1734112,1435617
LBCC,10.164.145.124,,10.164.105.186,,443,HTTPS,3270186,3639127
LBCC,2001:db8:2bda:f8d3:d38c:9b27:a7ef:6833,,2001:db8:2bda:f8d3:caca:5f98:b136:ccc,,443,HTTPS,202222,3809403
LBCC,10.164.145.54,,10.164.105.40,,8443,HTTPS,0,0
LBCC,10.164.145.167,,10.164.105.201,,8080,TLS,453475,1661355
LBCC,10.164.145.150,,10.164.145.244,,,HTTP2-SSL,2056383,3893452
LBCC,2001:db8:2bda:f8d3:a1bd:f99e:7a9f:edc9,,2001:db8:1a2b:3c4d:5bad:7ffc:20c7:31b,,8443,HTTPS,0,0
LBCC,10.164.145.174,,10.164.105.122,,8080,HTTP2-SSL,1213603,1124304
LBCC,10.164.145.53,,10.164.105.138,,443,HTTPS,277591,2620035
LBCC,10.164.145.136,,10.164.105.45,,,HTTP2-SSL,3420097,3935446
LBCC,10.164.145.240,,10.164.145.207,,80,TLS,2856333,1195124
LBCC,10.164.145.70,,10.164.145.45,,8443,TLS,2575605,2774778
LBCC,10.164.145.63,,10.164.105.35,,443,TLS,2366828,3928247
LBCC,10.164.145.131,,10.100.246.79,,22,HTTP2-SSL,1140475,3401667
LBCC,10.164.145.65,,10.100.246.19,,443,HTTPS,2556854,1156654
LBCC,10.164.145.99,,10.164.105.36,,,HTTP2-SSL,3497721,2531903
LBCC,10.164.145.158,,10.164.145.246,,80,HTTP2-SSL,0,0
LBCC,10.164.145.93,,10.164.105.43,,80,TLS,537947,959704
LBCC,10.164.145.241,,10.164.145.207,,1521,TLS,1569370,2032879
LBCC,2001:db8:2bda:f8d3:a752:c5bd:b20:addc,,2001:db8:2bda:f8d3:fe86:2aa:289e:d805,,80,TLS,3387666,3083985
LBCC,10.164.145.99,,10.164.105.226,,8443,HTTPS,1043660,1456979
LBCC,10.164.145.47,,10.164.145.10,,8443,HTTP2-SSL,1408336,1937805
LBCC,2001:db8:2bda:f8d3:f1bf:379d:d498:898d,,2001:db8:1a2b:3c4d:b7a6:71b0:f522:7424,,389,TLS,585744,2439143
LBCC,10.164.145.51,,10.164.105.25,,,HTTP2-SSL,468396,3699142
LBCC,10.164.145.22,,10.100.246.109,,8443,HTTPS,3924755,3405374
LBCC,10.164.145.88,,10.100.246.247,,443,HTTPS,1169561,3564974
LBCC,10.164.145.203,,10.100.246.89,,,TLS,478074,1168583
LBCC,10.164.145.197,,10.100.246.124,,443,HTTPS,2174301,632111
LBCC,10.164.145.68,,10.164.105.175,,5432,TLS,1716163,498856
LBCC,10.164.145.182,,10.164.145.200,,8443,HTTPS,790567,2950745
LBCC,10.164.145.31,,10.164.145.160,,443,HTTPS,3220971,2483249
LBCC,2001:db8:2bda:f8d3:fedf:70a9:b865:ada7,,2001:db8:548b:87b5:96d7:d50c:34a5:8acf,,8443,HTTPS,2137520,1402853
LBCC,10.164.145.48,,10.164.105.63,,5432,HTTP2-SSL,3545336,3000265
LBCC,10.164.145.89,,10.164.145.7,,443,HTTPS,3773316,2157872
LBCC,10.164.145.59,,10.100.246.40,,389,TLS,2263826,2847791
LBCC,10.164.145.119,,10.164.145.115,,8080,HTTP2-SSL,230501,3489200
LBCC,10.164.145.118,,10.100.246.212,,,TLS,0,0
LBCC,10.164.145.210,,10.164.145.168,,,HTTP2-SSL,1846102,274497
LBCC,2001:db8:2bda:f8d3:8531:103f:df2b:21ab,,2001:db8:2bda:f8d3:1375:36ab:a1f7:6874,,,TLS,2462823,2272031
LBCC,10.164.145.172,,10.164.145.188,,443,HTTPS,3494036,513305
LBCC,10.164.145.175,,10.100.246.28,,,HTTP2-SSL,3643913,3189422
LBCC,10.164.145.132,,10.164.105.11,,8443,HTTP2-SSL,2717796,1247372
LBCC,10.164.145.244,,10.164.145.40,,8443,HTTPS,1354218,1114139
LBCC,10.164.145.108,,10.164.145.209,,3306,TLS,2700628,1198665
LBCC,10.164.145.182,,10.100.246.93,,8080,HTTP2-SSL,3833406,3455964
LBCC,10.164.145.99,,10.164.145.108,,22,HTTP2-SSL,3246087,2719370
LBCC,2001:db8:2bda:f8d3:1da9:9741:4eef:96b9,,2001:db8:548b:87b5:c1ef:5d1:3fa9:4f65,,443,HTTPS,3023787,3392179
LBCC,10.164.145.115,,10.100.246.63,,443,HTTPS,3212713,728173
LBCC,10.164.145.41,,10.164.105.0,,80,HTTP2-SSL,2811985,1757784
LBCC,10.164.145.160,,10.164.145.59,,8443,HTTPS,2958977,2822364
LBCC,10.164.145.34,,10.164.145.21,,443,HTTPS,2544938,380571
LBCC,2001:db8:2bda:f8d3:cd3f:2649:12de:d809,,2001:db8:548b:87b5:363:7bad:34c:2b00,,443,HTTP2-SSL,3397667,3277966
LBCC,2001:db8:2bda:f8d3:d2e3:be0f:6af:2045,,2001:db8:548b:87b5:da0a:3099:3de2:ebd8,,8443,HTTPS,1791828,1510161
LBCC,10.164.145.12,,10.164.145.91,,5432,TLS,239272,1391339
LBCC,10.164.145.226,,10.164.105.129,,8443,HTTPS,0,0
LBCC,10.164.145.151,,10.164.105.166,,443,HTTPS,1722198,3904965
LBCC,10.164.145.139,,10.100.246.155,,,HTTP2-SSL,2124061,3141074
LBCC,2001:db8:2bda:f8d3:261a:21ee:c66e:9941,,2001:db8:2bda:f8d3:9143:6689:c702:e5c4,,389,TLS,3489012,1959561
LBCC,10.164.145.137,,10.164.105.37,,,HTTP2-SSL,3186174,973231
LBCC,10.164.145.191,,10.164.105.249,,8080,HTTP2-SSL,2576911,436157
LBCC,10.164.145.56,,10.100.246.198,,443,HTTP2-SSL,259988,270171
LBCC,10.164.145.91,,10.164.105.53,,8443,HTTP2-SSL,2533727,3407681
LBCC,10.164.145.250,,10.164.145.60,,8443,TLS,1177628,1010481
LBCC,10.164.145.115,,10.164.105.16,,8443,HTTPS,2909795,743944
LBCC,10.164.145.140,,10.164.105.220,,8443,HTTP2-SSL,2871129,1554787
