App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
LBOT,10.100.246.214,,10.100.160.73,,443,TCP,1761630,2316245
LBOT,10.100.246.225,,10.164.144.168,,8080,TCP,2440385,3383430
LBOT,10.164.144.113,,10.165.116.131,,,TCP,0,0
LBOT,10.164.116.208,,10.164.105.140,,443,TCP,1711367,745549
LBOT,10.164.145.20,,10.164.116.255,,8443,HTTPS,0,0
LBOT,10.164.144.237,,10.165.116.81,,443,HTTPS,1178997,3383180
LBOT,10.100.160.194,,10.164.144.102,,8443,HTTPS,2151798,1997979
LBOT,10.100.246.114,,10.100.160.93,,8443,HTTPS,592296,618385
LBOT,10.100.160.123,,10.164.145.47,,8081,HTTP,0,0
LBOT,10.100.246.35,,10.100.246.22,,8080,HTTP,369764,3209663
LBOT,10.164.105.20,,10.164.105.240,,80,HTTP,3828876,1875864
LBOT,10.164.116.12,,10.164.145.175,,8081,HTTP,981106,583054
LBOT,10.164.116.74,,10.164.144.53,,443,HTTPS,3144396,850395
LBOT,10.164.116.181,,10.100.246.2,,5432,TCP,0,0
LBOT,10.164.145.173,,10.165.116.205,,443,HTTPS,1041547,3271983
LBOT,10.100.246.240,,10.164.145.253,,8443,HTTPS,3410876,311404
LBOT,10.100.160.247,,10.165.116.73,,8443,HTTPS,1399234,2355437
LBOT,2001:db8:2582:6d22:6964:4e8d:2910:f8aa,,2001:db8:2582:6d22:713f:e92:8fcc:aad1,,8080,HTTP,2361011,2057819
LBOT,2001:db8:4c3a:9f21:2681:1797:f5b5:41fb,,2001:db8:2bda:f8d3:197e:e3bf:b349:43be,,8081,HTTP,146033,716292
LBOT,10.164.105.148,,10.165.116.8,,8081,HTTP,3266536,2573172
LBOT,10.164.144.76,,10.165.116.203,,80,HTTP,1684371,1260936
LBOT,10.164.145.252,,10.164.145.192,,,TCP,2998136,1027074
LBOT,10.164.116.43,,10.100.160.99,,443,TCP,411655,482968
LBOT,10.164.116.216,,10.165.116.196,,443,HTTPS,2470868,1394601
LBOT,10.100.246.39,,10.100.246.221,,443,HTTPS,3524678,3690786
LBOT,10.100.160.85,,10.165.116.81,,8080,HTTP,806989,2341563
LBOT,10.100.246.146,,10.100.246.180,,443,HTTPS,231245,138860
LBOT,10.164.145.62,,10.100.246.144,,443,HTTPS,1695717,1366948
LBOT,10.164.145.167,,10.164.145.152,,22,TCP,3204578,343424
LBOT,10.164.105.160,,10.100.160.6,,80,HTTP,2147886,3500366
LBOT,10.100.160.167,,10.164.145.203,,443,HTTPS,513481,145913
LBOT,10.164.105.173,,10.100.246.121,,8080,TCP,1365074,3019131
LBOT,10.164.116.52,,10.164.144.234,,443,HTTPS,1070806,3904135
LBOT,10.164.105.69,,10.164.145.40,,443,HTTPS,3550303,656000
LBOT,2001:db8:ea19:a1e1:5411:115e:9cd0:f366,,2001:db8:2582:6d22:f3bc:234a:c642:b89e,,443,HTTPS,294373,538488
LBOT,10.164.145.82,,10.164.105.73,,443,HTTPS,3953785,1703145
LBOT,10.164.144.164,,10.165.116.87,,8080,HTTP,1670830,2302992
LBOT,10.164.145.65,,10.164.116.75,,8080,HTTP,2057555,2518397
LBOT,10.164.144.172,,10.100.160.131,,,TCP,3801721,886544
LBOT,10.164.105.219,,10.100.160.78,,,TCP,1112778,2968354
LBOT,10.165.116.1,,10.100.246.175,,443,TCP,1400187,1239753
LBOT,2001:db8:548b:87b5:673f:ccb3:4c58:f9d3,,2001:db8:2582:6d22:5462:78e4:9849:f0af,,8080,HTTP,3478041,2746542
LBOT,10.164.145.199,,10.164.144.10,,,TCP,112397,2271302
LBOT,10.100.246.164,,10.164.116.50,,,TCP,981335,919986
LBOT,10.164.105.240,,10.165.116.190,,1521,TCP,2297093,881459
LBOT,10.100.160.20,,10.165.116.225,,443,HTTPS,2763156,381029
LBOT,10.164.116.185,,10.164.145.231,,80,HTTP,146013,3920431
LBOT,10.164.145.115,,10.164.116.119,,443,HTTPS,0,0
LBOT,10.100.160.21,,10.164.145.73,,443,HTTPS,255022,264914
LBOT,10.165.116.202,,10.164.105.46,,8443,HTTPS,3524569,3047624
LBOT,10.100.160.135,,10.100.246.193,,8443,TCP,798838,722878
LBOT,10.164.145.7,,10.165.116.41,,80,HTTP,499813,2081069
LBOT,2001:db8:2bda:f8d3:d0d5:c2a7:11de:3bd0,,2001:db8:2582:6d22:ea58:796c:dc82:4163,,,TCP,1124788,2360089
LBOT,10.164.116.75,,10.164.105.29,,80,HTTP,121995,3251270
LBOT,10.164.144.126,,10.164.145.16,,8443,HTTPS,3272434,1702014
