
# ZONE OPTIONS:
# - WEB_TIER (web servers, frontends, UI)
# - APP_TIER (application servers, APIs, services)
# - DATA_TIER (databases, data warehouses)
# - MESSAGING_TIER (message queues, Kafka, RabbitMQ)
# - CACHE_TIER (Redis, Memcached)
# - MANAGEMENT_TIER (admin tools, monitoring)
# - INFRASTRUCTURE_TIER (DNS, LDAP, auth services)
#
# INSTRUCTIONS:
# 1. Review each app_name below
# 2. Change the 'zone' to the CORRECT zone for that app
# 3. Keep confidence = 1.0 (this is ground truth)
# 4. Save this file
# 5. Run: python train_with_labels.py
app_name,zone,confidence
ACDA,APP_TIER,1.0
ALE,APP_TIER,1.0
AODSVY,APP_TIER,1.0
APSE,APP_TIER,1.0
ARA,APP_TIER,1.0
AV,APP_TIER,1.0
BCA,APP_TIER,1.0
BKO,APP_TIER,1.0
BLND,APP_TIER,1.0
BLZD,APP_TIER,1.0
BLZE,APP_TIER,1.0
BM,APP_TIER,1.0
BO,APP_TIER,1.0
BOD,APP_TIER,1.0
BP,APP_TIER,1.0
BTIF,APP_TIER,1.0
BW,APP_TIER,1.0
BX,APP_TIER,1.0
CACS,APP_TIER,1.0
CAP,APP_TIER,1.0
CCA,APP_TIER,1.0
CCLTR,APP_TIER,1.0
CCPA,APP_TIER,1.0
CCS,APP_TIER,1.0
CDSA,APP_TIER,1.0
CIRA,APP_TIER,1.0
CLSP,APP_TIER,1.0
CMAR,APP_TIER,1.0
CNET,APP_TIER,1.0
CP,APP_TIER,1.0
CRECL,APP_TIER,1.0
CSAA,APP_TIER,1.0
CSAS,APP_TIER,1.0
CT,APP_TIER,1.0
CV,APP_TIER,1.0
CXI,APP_TIER,1.0
CXSI,APP_TIER,1.0
DAD,APP_TIER,1.0
DCDPP,APP_TIER,1.0
DCIDM,APP_TIER,1.0
DCIFI,APP_TIER,1.0
DG,APP_TIER,1.0
DM,APP_TIER,1.0
DM_BAP,APP_TIER,1.0
DM_BLZE,APP_TIER,1.0
DM_CCRMBZ,APP_TIER,1.0
DM_CMDAT,APP_TIER,1.0
DM_CMDF,APP_TIER,1.0
DM_CMRDB,APP_TIER,1.0
DM_CMREG,APP_TIER,1.0
DM_CORD,APP_TIER,1.0
DM_DNCCW,APP_TIER,1.0
DM_LEDAT,APP_TIER,1.0
DM_RDOM,APP_TIER,1.0
DM_SBADJ,APP_TIER,1.0
DM_WMAHR,APP_TIER,1.0
DNACA,APP_TIER,1.0
DNADP,APP_TIER,1.0
DNAEP,APP_TIER,1.0
DNAGR,APP_TIER,1.0
DNASA,APP_TIER,1.0
DNBCI,APP_TIER,1.0
DNBIT,APP_TIER,1.0
DNBLC,APP_TIER,1.0
DNBRI,APP_TIER,1.0
DNBUH,APP_TIER,1.0
DNCAC,APP_TIER,1.0
DNCCL,APP_TIER,1.0
DNCCO,APP_TIER,1.0
DNCCS,APP_TIER,1.0
DNCCW,APP_TIER,1.0
DNCER,APP_TIER,1.0
DNCIT,APP_TIER,1.0
DNCOR,APP_TIER,1.0
DNCWS,APP_TIER,1.0
DNDNS,APP_TIER,1.0
DNENG,APP_TIER,1.0
DNESR,APP_TIER,1.0
DNGCM,APP_TIER,1.0
DNGFC,APP_TIER,1.0
DNHRT,APP_TIER,1.0
DNIBS,APP_TIER,1.0
DNIDE,APP_TIER,1.0
DNINR,APP_TIER,1.0
DNINT,APP_TIER,1.0
DNINV,APP_TIER,1.0
DNLDS,APP_TIER,1.0
DNLOC,APP_TIER,1.0
DNMCM,APP_TIER,1.0
DNMET,APP_TIER,1.0
DNMLO,APP_TIER,1.0
DNMMZ,APP_TIER,1.0
DNPGR,APP_TIER,1.0
DNRAS,APP_TIER,1.0
DNRCB,APP_TIER,1.0
DNRCT,APP_TIER,1.0
DNREP,APP_TIER,1.0
DNRGE,APP_TIER,1.0
DNROM,APP_TIER,1.0
DNRVS,APP_TIER,1.0
DNSBT,APP_TIER,1.0
DNSCC,APP_TIER,1.0
DNSCH,APP_TIER,1.0
DNTCB,APP_TIER,1.0
DNTCM,APP_TIER,1.0
DNWHO,APP_TIER,1.0
DNWHS,APP_TIER,1.0
DNZEL,APP_TIER,1.0
DPAPI,APP_TIER,1.0
DSAA,APP_TIER,1.0
ECL,APP_TIER,1.0
EFW,APP_TIER,1.0
EM,APP_TIER,1.0
EMDS,APP_TIER,1.0
EMGR,APP_TIER,1.0
END,APP_TIER,1.0
ENDNC,APP_TIER,1.0
ERCPT,APP_TIER,1.0
FAAR,APP_TIER,1.0
FG,APP_TIER,1.0
FICPM,APP_TIER,1.0
FIMSP,APP_TIER,1.0
FM,APP_TIER,1.0
I3SQL,APP_TIER,1.0
IA,APP_TIER,1.0
IB,APP_TIER,1.0
IMGVF,APP_TIER,1.0
ITR,APP_TIER,1.0
IV,APP_TIER,1.0
IVGBU,APP_TIER,1.0
IVR,APP_TIER,1.0
IVRMC,APP_TIER,1.0
IW,APP_TIER,1.0
IWDE,APP_TIER,1.0
IX,APP_TIER,1.0
IXCI,APP_TIER,1.0
IXOF,APP_TIER,1.0
LB,APP_TIER,1.0
LBCC,APP_TIER,1.0
LBOT,APP_TIER,1.0
